english;russian
lightning;узор или изображение молнии
linen;льняную ткань
linen-blend;частично льняную ткань обычно с хлопком
logo;логотип какой-то компании
long sleeve;длинные рукава
long-sleeve;длинные рукава
long-sleeved;длинные рукава
longline;длину которая превышает стандартную
longline shirt;пропуск
loop;всисающие нити по краям
loose;низкую плотность ткани
loose-knit;низкую плотность ткани
lounge;повседневный стиль
love;слово любовь
lover;слово влюбленный
low-rise;низкую посадку
low-rise skinny;пропуск
loyal;слово лояльный
luxe;пропуск
m-slit;два разреза
m-slit maxi;пропуск
mandala;принт мандалы
mandala print;пропуск
mandarin;плотно прилегающий воротник
map;изображение карты
marble;мраморный узор
marble print;пропуск
marilyn;изображение мерлин манро
marilyn monroe;пропуск
marled;ткань с прожилками
marled stripe;пропуск
matelot;морской стиль
maxi;максимальную длину
medallion;мозаичный принт
medallion print;пропуск
medium;средне высветленные пятна
meow;слово мяу
mesh;сетчатую ткань
mesh overlay;пропуск
mesh panel;пропуск
mesh paneled;пропуск
mesh racerback;пропуск
mesh-paneled;часть из сетчатой ткани
mesh-trimmed;полосу из сетчатой ткани
metallic;металический блеск
miami;слова миами хит как название баскетбольной команды
mickey;изображение Микки Мауса
mickey mouse;изображение Микки Мауса
mid rise;среднюю посадку
mid rise skinny;пропуск
mid-rise;среднюю посадку
mid-rise skinny;пропуск
midi;среднюю длину
mina;пропуск
mineral;осветление с минеральными разводами
mineral wash;пропуск
mini;короткую длину
minnie;изображение Минни Маус
minnie mouse;изображение Минни Маус
mirrored;отраженный принт
mixed;сочетание нескольких принтов
mixed print;пропуск
mixed stripe;сочетание нескольких цветных полос
mob;бренд женат на мафии - уличной феминистической одежды
mock;высокий воротник без слоев ткани
mock neck;пропуск
mock-neck;высокий воротник без слоев ткани
mod;стиль модернизма
modernist;стиль модернизма
monroe;изображение Мерлин Манро
moon;изображение или слово луны
morning;слово утро
mosaic;мозаичный принт
mosaic print;пропуск
moto;байкерский стиль
multi-stripe;полосы разного цвета
muscle;мужской фасон
muse;пропуск
nautical;морской стиль
nautical stripe;пропуск
nautical striped;пропуск
neck ribbed;пропуск
neck skater;пропуск
neck striped;пропуск
neckline;пропуск
neon;неоновые цвета
neoprene;каучуковую ткань
nets;пропуск
netted;сетчатую ткань
new york;пропуск
night;вечерний стиль
notched collar;пропуск
notorious;имя Ноториуса Бига - реппера
ny;сокращенное слово Нью Йорк
nyc;сокращенное слово Нью Йорк
nylon;ткань нейлон
off-the-shoulder;спущенные рукава
oil;принт масляных разводов
ombre;градиент
one-button;одну пуговицу
one-shoulder;одно плечо
open-back;открытую спину
open-front;открытый перед
open-knit;трикотажную ткань и открытый стиль
open-shoulder;открытые плечи
organza;ткань органза - легая и прозрачная
origami;сложенную ткань
ornate;принт из переплетенных нитей
ornate paisley;пропуск
ornate print;пропуск
overlay;покрытие из другой ткани
overlay sheath;пропуск
oversized;больший размер чем принято
oxford;пропуск
paint;принт пятен краски
paint splatter;пропуск
painted;принт иммитирующий пятна краски
paisley;огуречный узор пейсли
paisley print;пропуск
palm;изображение пальмы
palm print;пропуск
palm springs;слова Палм Спрингс то есть штат Калифорния
palm tree;пропуск
pan;длинный воротник с закруглёнными концами
panel;часть другой ткани
paneled;часть другой ткани
paradise;слово рай на английском языке
paris;слово Париж
party;слово вечерника
patched;заплатки
patchwork;заплатки
pattern;некоторый узор
patterned;некоторый узор
peasant;крестьянский стиль
pencil;форму карандаш
peplum;юбочку вокруг талии
perforated;узор из дырочек
performance;ткань устойчивую к загрязнениям
pima;ткань из хлопка пима
pin;узор из маленьких точек
pineapple;принт с ананасом
pink;пропуск
pinstripe;тонкие цветные полосы на ткани
pinstriped;тонкие цветные полосы на ткани
pintuck;защипы на ткани
pintuck pleated;пропуск
pintucked;защипы на ткани
pizza;слово пицца
pj;пижамную форму
plaid;клетчатый узор
plaid shirt;пропуск
please;слово пожалуйста
pleat;складки
pleated;складки
pleated skater;пропуск
pleated woven;пропуск
pocket;карман
pointelle;ажурный узор
polka dot;узор из крупных точек
polo;короткие рукава и воротник на пуговицах
pom-pom;декоративные пучки из ткани
ponte;ткань понте - плотную двойной вязки
popcorn;вязанную ткань ввиде попкорна
popover;ткань из 100% хлопка
posh;пропуск
power;пропуск
print;некоторый принт
print racerback;пропуск
print satin;пропуск
print scuba;пропуск
print shift;пропуск
print shirt;пропуск
print skater;пропуск
print smock;пропуск
print smocked;пропуск
print strapless;пропуск
print strappy;пропуск
print surplice;пропуск
print tulip;пропуск
print v-neck;пропуск
print woven;пропуск
printed;некоторый принт
puffer;пух в ткани
pullover;пуловер - часть ткани спереди для рук
purl;ткань вязанную спицами
quilted;стеганный крой - из двух слоев с толстым слоем между ними
quirky;пропуск
racerback;высоко сходящиеся бретели
rad;слово сокращение ред что переводится как круто
raga;узор в индийском стиле
raglan;рукава обозначены другим цветом
raglan sleeve;пропуск
rainbow;радужные переливы
raw;необработанные края
raw-cut;необработанные края
rebel;слово бунтарь
red;красный цвет
refined;тонкую ткань
regime;слово режим
relaxed;расслабленный стиль
retro;ретро стиль
reverse;иммитацию вывернутой наизнанку тканью
reversible;иммитацию вывернутой наизнанку тканью
rhinestone;узор горного хрусталя с цветными переливами
rib;ребристую ткань
rib-knit;ребристую трикотажную ткань
ribbed;ребристую ткань
ribbed stripe;пропуск
ribbed-knit;ребристую трикотажную ткань
ringer;полосы  другого цвета по краям руковов и воротника
ripped;порванную ткань
rise;некоторую посадку
rise skinny;пропуск
roll;слово рок энд рол
rolling;название группы Ролинг Стоунс
rolling stones;название группы Ролинг Стоунс
roman;римские цифры
rose;принт с розами
rose skater;пропуск
roses;принт с розами
round;круглый подол или воротник
ruched;рюши
ruffle;рюши
ruffle trim;пропуск
ruffled;рюши
rugby;имеет пять шесть толстых цветных полос
rugby stripe;пропуск
rugby striped;пропуск
run;спортивный стиль
running;спортивный стиль
rustic;деревенский стиль
safari;принт сафари
sateen;ткань сатин
satin;ткань сатин
scallop;декоративную окантоваку
scalloped;декоративную окантоваку
scoop;овальный вырез
scoop-neck;овальный вырез
scuba;ткань скуба -  хлоропреновый каучук
scuba skater;ткань скуба -  хлоропреновый каучук и свободный крой
sea;морской стиль
seam;выделяющийся шов
seamless;бесшовную ткань
seaside;пляжный стиль
seersucker;шереховатую ткань молочного цвета
self-tie;самозавязанную ткань
semi-sheer;полупрозрачную ткань
sequin;блестящую ткань
sequined;блестящую ткань
shaggy;лохматую ткань
shark;принт с акулами
shawl;складчатый закрывающий воротник
shearling;ткань из овечьей шерсти
sheath;покрытие из другой ткани
sheer;полупрозрачную ткань
sheer-paneled;вставки из полупрозрачной ткани
shift;простой крой
shirred;полупрозрачную ткань
shirt;часть являющейся рубашкой
shopping;пропуск
shore;пляжный стиль
shoulder;пропуск
shredded;разрезанную ткань
side slit;пропуск
side-slit;боковой разрез
single-button;одну пуговицу
skater;свободный стиль
skinny;облегающий силует
skinny stretch;пропуск
skort;иммитацию юбки
sky;пропуск
sleek;гладкую ткань
sleeve;рукава
sleeveless;безрукавный крой
slick;скользкий принт
slim;приталенный крой
slip;иммитацию под нижнее белье
slit;разрез
slouchy;свободный крой
slub;слаб пряжу - с неравномерными утолщениями
slub-knit;слаб пряжу - с неравномерными утолщениями
smart;слово умный
smile;улыбающийся смайлик
smock;пропуск
smocked;пропуск
snap;застежки-кнопки
snoopy;изображение собачки снуппи
soft;пропуск
solid;строгий стиль
sophisticated;утонченный стиль
southwestern;юго-западный американский стиль индейцев\ковбоев
southwestern-inspired;юго-западный американский стиль индейцев\ковбоев
southwestern-patterned;юго-западный американский стиль индейцев\ковбоев
southwestern-print;юго-западный американский стиль индейцев\ковбоев
sparkling;блестящую ткань
speckled;крапчатый узор - множнство мелких неравномерно распределенных точек другого цвета
spirit;свободный крой
splatter;принт расплесканных пятен краски
split;разрез
split-back;разделенный подол
split-neck;разделенный воротник
spongebob;изображение героев из Спанч Боба
sporty;спортивный стиль
spotted;пятнистый узор
springs;слова Палм Спрингс то есть штат Калифорния
square;квадратный разрез или вырез
standout;привлекающеся внимание стиль
star;принт со звездами
stars;принт со звездами
stone;осветление иммитирующее камень
stone washed;пропуск
stones;название группы Ролинг Стоунс
straight-leg;прямой крой
strap;ребешок
strapless;отсутствующие брительки
strapless tribal;пропуск
strappy;тонкие брители
stretch;растягивающуюся ткань
stretch-knit;растягивающуюся ткань
stripe;цветные полосы
striped;цветные полосы
striped trapeze;пропуск
striped v-neck;пропуск
stripes;цветные полосы
structured;необычную структуру ткани
studded;узор из заклепок
studio;пропуск
suede;замшевую ткань
summer;слово лето
sun;слово солнце
sunburst;принт вспышки солнечного света
sunflower;принт с подсолнухами
surfer;принты связанные с серфингом
surplice;перекрещивающуюся ткань
suspender;подтяжки
sweet;милый стиль
sweetheart;вырез в форме сердца
swim;преднезначение для плавания
swing;струящийся крой
swiss;прозрачную ткань с точками - швейцарка
t-back;вырез в форме буквы тэ
taco;изображение тако
tapestry;узор в виде гобелена
tartan;клетчатый узор
tasmanian;изображение тасмаского дьявола из мультфильма
tassel;кисточки из ткани
tasseled;кисточки из ткани
terry;ткань французской махры
texas;название штата Техас
textured;нестандартную текстуру ткани
textured woven;пропуск
thermal;предназначение термодежды
tie-back;завязки на спине
tie-dye;узор в стиле тай дай с красочными разводами
tie-front;завязки спереди
tie-neck;завязки на вороте
tiered;мнослойную ткань
tile;узор в виде мозайки
toggle;застежки тоггл - один с петлей а другой с пуговицей
tokyo;название города Токио
tonal;клеточный узор
topstitched;стежки на внешней стороне ткани
tower;изображение эйфелевой башни
track;спортивный стиль
training;спортивный стиль
trapeze;трапецивидную форму
tree;изображение дерева
trench;водонепроницаемую ткань
triangle;треугольный принт
tribal;племенной узор
tribal-inspired;племенной узор
trim;край из другой ткани
trimmed;край из другой ткани
tropical;тропический принт
trouble;слово проблемный на английском
trouser;брючную ткань
tube;отсутсвующие плечи и рукава и облегает верхнюю часть тела
tulip;крой тюльпан
tulip-back;крой тюльпан на спине
tulle;тюлевую ткань
tunic;форму туники свободного кроя
tupac;имя репера Ту́пака Ама́ра Шаку́ра
turtle-neck;плотно прилегающий воротник
tweed;шерстяную ткань
twill;плетение саржа
twist-front;развернутую на 180 градусов ткань
twisted;развернутую на 180 градусов ткань
two-button;две пуговицы
two-tone;два основных цвета
utility;практичный стиль
v-back;ви образный вырез на спине
v-cut;ви образный вырез
v-neck;ви обраный вырез воротника
van;название группы Ван Хелен
varsity;университетский стиль
varsity-striped;университетский стиль и цветные полосы
velvet;бархатную ткань
velveteen;велветовую ткань
venice;название пляжа Венеция в Калифорнии
vent;вырезы для свободного движения рук или ног
vented hem;вырезы для свободного движения рук или ног
vertical;вертикальные цветные полосы
voyager;ткань Вояджер из полиэстра и полиэтилена
waffle;вафельный вязанный узор
wake;слово просыпаться
wash;осветление
washed;осветление
watercolor;акварельными разводами
wave;принт с морскими волнами
weekend;слово выходные на английском
west;название команды Вест Коаст Иглс
wide-leg;широкий крой
wifey;слово женушка
wild;слово дикий
wildflower;изображение диких цветов
windbreaker;ветронепродуваемую ткань
windowpane;витражный узор
woke;слово просыпаться
workout;спортивный стиль
woven;плетную ткань
wrap;перекрещивающуюся ткань
y-back;пиромиидальный вырез
yoga;предназначение для йоги
yoke;полоску ткани другого цвета на плечах
york;название города Нью Йорк
youth;слово юность
zeppelin;группа Лед Зеппеллин
zig;зигзаговый узор
zigzag;зигзаговый узор
zip;молнию
zip-front;молнию спереди
zip-pocket;карман на молнии
zip-up;молнию
zipped;молнию
zipper;молнию
zippered;молнию
empty;другое
